ID,C,kernel,degree,mean_score,std_score
0,0.1,linear,2,0.976421,0.007006
1,0.1,linear,3,0.976421,0.007006
2,0.1,linear,4,0.976421,0.007006
3,0.1,poly,2,0.962664,0.012903
4,0.1,poly,3,0.977731,0.01066
5,0.1,poly,4,0.982321,0.006071
6,0.1,rbf,2,0.948257,0.015866
7,0.1,rbf,3,0.948257,0.015866
8,0.1,rbf,4,0.948257,0.015866
9,0.1,sigmoid,2,0.745872,0.032231
10,0.1,sigmoid,3,0.745872,0.032231
11,0.1,sigmoid,4,0.745872,0.032231
12,1,linear,2,0.976421,0.007006
13,1,linear,3,0.976421,0.007006
14,1,linear,4,0.976421,0.007006
15,1,poly,2,0.984935,0.006077
16,1,poly,3,0.986902,0.004634
17,1,poly,4,0.986251,0.006993
18,1,rbf,2,0.984939,0.005311
19,1,rbf,3,0.984939,0.005311
20,1,rbf,4,0.984939,0.005311
21,1,sigmoid,2,0.908312,0.008073
22,1,sigmoid,3,0.908312,0.008073
23,1,sigmoid,4,0.908312,0.008073
24,10,linear,2,0.976421,0.007006
25,10,linear,3,0.976421,0.007006
26,10,linear,4,0.976421,0.007006
27,10,poly,2,0.986249,0.002444
28,10,poly,3,0.986907,0.005066
29,10,poly,4,0.985597,0.007349
30,10,rbf,2,0.990179,0.004631
31,10,rbf,3,0.990179,0.004631
32,10,rbf,4,0.990179,0.004631
33,10,sigmoid,2,0.815318,0.011905
34,10,sigmoid,3,0.815318,0.011905
35,10,sigmoid,4,0.815318,0.011905
